Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
exert,5,wield,maintain,have (generic term),have got (generic term),hold (generic term),,
exert,5,act (generic term),move (generic term),,,,,
exile,5,expatriate,absentee (generic term),,,,,
exile,5,deportee,foreigner (generic term),alien (generic term),noncitizen (generic term),outlander (generic term),,
exile,5,deportation,expatriation,transportation,banishment (generic term),proscription (generic term),,
exile,5,expatriate,deport,expel (generic term),throw out (generic term),kick out (generic term),repatriate (antonym),
exist,5,be,,,,,,
exist,5,survive,live,subsist,,,,
exode,5,afterpiece (generic term),,,,,,
expel,5,throw out,kick out,move (generic term),displace (generic term),,,
expel,5,eject,chuck out,exclude,throw out,kick out,turf out,boot out
expel,5,oust,throw out,drum out,boot out,kick out,remove (generic term),
expel,5,rout,rout out,get the better of (generic term),overcome (generic term),defeat (generic term),,
expel,5,discharge,eject,release,,,,
extol,5,laud,exalt,glorify,proclaim,praise (generic term),,
extra,5,excess,redundant,spare,supererogatory,superfluous,supernumerary,surplus
extra,5,special,unscheduled (similar term),,,,,
extra,5,additional,additive (similar term),,,,,
extra,5,supernumerary,spear carrier,actor (generic term),histrion (generic term),player (generic term),thespian (generic term),role player (generic term)
extra,5,edition (generic term),,,,,,
extra,5,duplicate,artifact (generic term),artefact (generic term),,,,
exude,5,exudate,transude,ooze out,ooze,excrete (generic term),egest (generic term),eliminate (generic term)
exude,5,express (generic term),show (generic term),evince (generic term),,,,
exult,5,walk on air,be on cloud nine,jump for joy,rejoice (generic term),joy (generic term),,
exult,5,exuberate,rejoice,triumph,jubilate,cheer (generic term),cheer up (generic term),chirk up (generic term)
eyrie,5,aerie,aery,eyry,bird's nest (generic term),bird nest (generic term),birdnest (generic term),
eyrie,5,aerie,aery,eyry,habitation (generic term),,,
eyrir,5,Icelandic monetary unit (generic term),,,,,,
fa la,5,fal la,nonsense (generic term),bunk (generic term),nonsensicality (generic term),meaninglessness (generic term),hokum (generic term),
fable,5,fabrication,fiction,falsehood (generic term),falsity (generic term),untruth (generic term),,
fable,5,parable,allegory,apologue,story (generic term),,,
fable,5,legend,story (generic term),,,,,
faced,5,baby-faced (similar term),bald-faced (similar term),featured (similar term),Janus-faced (similar term),two-faced (similar term),long-faced (similar term),moon-faced (similar term)
facer,5,difficulty (generic term),,,,,,
facet,5,aspect,feature (generic term),characteristic (generic term),,,,
facet,5,subfigure (generic term),,,,,,
facia,5,fascia,connective tissue (generic term),,,,,
faddy,5,faddish,fashionable (similar term),stylish (similar term),,,,
faded,5,bleached,washed-out,washy,colorless (similar term),colourless (similar term),,
faded,5,attenuate,attenuated,weakened,decreased (similar term),reduced (similar term),,
faery,5,fairy,faerie,fay,sprite,spiritual being (generic term),supernatural being (generic term),
faery,5,fairyland,faerie,imaginary place (generic term),mythical place (generic term),fictitious place (generic term),,
fagin,5,Fagin,fictional character (generic term),fictitious character (generic term),character (generic term),,,
fagot,5,faggot,fag,fairy,nance,pansy,queen,queer
fagot,5,faggot,bundle (generic term),sheaf (generic term),,,,
fagot,5,faggot,embroider (generic term),broider (generic term),,,,
fagot,5,faggot,tie down (generic term),tie up (generic term),bind (generic term),truss (generic term),,
fagot,5,faggot,faggot up,tie down (generic term),tie up (generic term),bind (generic term),truss (generic term),
fagus,5,Fagus,genus Fagus,hamamelid dicot genus (generic term),,,,
faint,5,weak,perceptible (similar term),,,,,
faint,5,dim,shadowy,vague,wispy,indistinct (similar term),,
faint,5,feeble,weak (similar term),,,,,
faint,5,light,swooning,light-headed,lightheaded,ill (similar term),sick (similar term),
faint,5,indistinct (similar term),,,,,,
faint,5,fainthearted,timid,faint-hearted,cowardly (similar term),fearful (similar term),,
faint,5,swoon,syncope,deliquium,loss of consciousness (generic term),,,
faint,5,conk,swoon,pass out,zonk out (generic term),pass out (generic term),black out (generic term),
fairy,5,faery,faerie,fay,sprite,spiritual being (generic term),supernatural being (generic term),
fairy,5,fagot,faggot,fag,nance,pansy,queen,queer
faith,5,religion,religious belief,belief (generic term),theological virtue (generic term),supernatural virtue (generic term),,
faith,5,trust,belief (generic term),,,,,
faith,5,religion,organized religion,institution (generic term),establishment (generic term),,,
faith,5,commitment (generic term),allegiance (generic term),loyalty (generic term),dedication (generic term),,,
faker,5,imposter,impostor,pretender,fake,fraud,sham,shammer
fakir,5,fakeer,faqir,faquir,saint (generic term),holy man (generic term),holy person (generic term),angel (generic term)
falco,5,Falco,genus Falco,bird genus (generic term),,,,
falla,5,Falla,Manuel de Falla,composer (generic term),pianist (generic term),piano player (generic term),,
falls,5,perianth (generic term),chlamys (generic term),floral envelope (generic term),perigone (generic term),perigonium (generic term),,
falls,5,waterfall,body of water (generic term),water (generic term),,,,
FALSE,5,mendacious (similar term),specious (similar term),spurious (similar term),trumped-up (similar term),untrue (similar term),dishonest (related term),dishonorable (related term)
FALSE,5,mistaken,incorrect (similar term),wrong (similar term),,,,
FALSE,5,invalid (similar term),,,,,,
FALSE,5,hollow,insincere (similar term),,,,,
FALSE,5,delusive,unrealistic (similar term),,,,,
FALSE,5,fake,faux,imitation,simulated,artificial (similar term),unreal (similar term),
FALSE,5,dishonest (similar term),dishonorable (similar term),,,,,
FALSE,5,off-key,sour,inharmonious (similar term),unharmonious (similar term),,,
FALSE,5,assumed,fictitious,fictive,pretended,put on,sham,counterfeit (similar term)
FALSE,5,untrue,inconstant (similar term),,,,,
FALSE,5,faithlessly,traitorously,treacherously,treasonably,,,
famed,5,celebrated,far-famed,famous,illustrious,notable,noted,renowned
fancy,5,aureate (similar term),florid (similar term),flamboyant (similar term),baroque (similar term),churrigueresque (similar term),churrigueresco (similar term),busy (similar term)
fancy,5,illusion,fantasy,phantasy,misconception (generic term),,,
fancy,5,imagination (generic term),imaginativeness (generic term),vision (generic term),,,,
fancy,5,fondness,partiality,liking (generic term),,,,
fancy,5,visualize,visualise,envision,project,see,figure,picture
fancy,5,go for,take to,desire (generic term),want (generic term),,,
fanny,5,buttocks,nates,arse,butt,backside,bum,buns
fanny,5,female genitalia,female genitals,female genital organ,genitalia (generic term),genital organ (generic term),genitals (generic term),private parts (generic term)
faqir,5,fakir,fakeer,faquir,saint (generic term),holy man (generic term),holy person (generic term),angel (generic term)
farad,5,F,capacitance unit (generic term),,,,,
farce,5,farce comedy,travesty,comedy (generic term),,,,
farce,5,forcemeat,stuffing (generic term),dressing (generic term),,,,
farce,5,stuff,fill (generic term),fill up (generic term),make full (generic term),,,
fargo,5,Fargo,city (generic term),metropolis (generic term),urban center (generic term),,,
farsi,5,Farsi,Irani (generic term),Iranian (generic term),Persian (generic term),,,
farsi,5,Persian,Farsi,Iranian (generic term),Iranian language (generic term),,,
fatah,5,al-Fatah,Fatah,al-Asifa,political movement (generic term),terrorist organization (generic term),terrorist group (generic term),foreign terrorist organization (generic term)
fatal,5,deadly (similar term),deathly (similar term),mortal (similar term),deadly (similar term),lethal (similar term),terminal (similar term),nonfatal (antonym)
fatal,5,fateful,decisive (similar term),,,,,
fatal,5,black,calamitous,disastrous,fateful,unfortunate (similar term),,
fatal,5,fateful,inevitable (similar term),,,,,
fated,5,doomed,certain (similar term),sure (similar term),,,,
fates,5,Fates,Weird Sisters,Three Weird Sisters,deity (generic term),divinity (generic term),god (generic term),immortal (generic term)
fatso,5,fatty,fat person,roly-poly,butterball,large person (generic term),thin person (antonym),
fatty,5,fat,adipose (similar term),buttery (similar term),greasy (similar term),oily (similar term),sebaceous (similar term),oleaginous (similar term)
fatty,5,fatso,fat person,roly-poly,butterball,large person (generic term),thin person (antonym),
fatwa,5,opinion (generic term),ruling (generic term),,,,,
fauld,5,armor plate (generic term),armour plate (generic term),armor plating (generic term),plate armor (generic term),plate armour (generic term),,
fault,5,responsibility (generic term),responsibleness (generic term),,,,,
fault,5,faulting,geological fault,shift,fracture,break,crack (generic term),cleft (generic term)
fault,5,demerit,worth (generic term),merit (antonym),,,,
fault,5,mistake,error,nonaccomplishment (generic term),nonachievement (generic term),,,
fault,5,defect,flaw,imperfection (generic term),imperfectness (generic term),,,
fault,5,serve (generic term),service (generic term),,,,,
fault,5,breakdown (generic term),equipment failure (generic term),,,,,
fault,5,blame,charge (generic term),accuse (generic term),absolve (antonym),,,
fauna,5,zoology,collection (generic term),aggregation (generic term),accumulation (generic term),assemblage (generic term),flora (antonym),
fauna,5,animal,animate being,beast,brute,creature,organism (generic term),being (generic term)
faust,5,Faust,Faustus,fictional character (generic term),fictitious character (generic term),character (generic term),,
fauve,5,Fauve,fauvist,painter (generic term),,,,
favor,5,favour,kindness (generic term),benignity (generic term),,,,
favor,5,favour,advantage (generic term),vantage (generic term),,,,
favor,5,favour,inclination (generic term),disposition (generic term),tendency (generic term),,,
favor,5,favour,approval (generic term),,,,,
favor,5,party favor,party favour,favour,keepsake (generic term),souvenir (generic term),token (generic term),relic (generic term)
favor,5,prefer,favour,promote (generic term),upgrade (generic term),advance (generic term),kick upstairs (generic term),raise (generic term)
favor,5,favour,see (generic term),consider (generic term),reckon (generic term),view (generic term),regard (generic term),
favor,5,favour,spare (generic term),save (generic term),,,,
favor,5,privilege,favour,permit (generic term),allow (generic term),let (generic term),countenance (generic term),
favus,5,fungal infection (generic term),mycosis (generic term),,,,,
fazed,5,bothered,daunted,discomposed (similar term),,,,
feast,5,banquet,dinner (generic term),dinner party (generic term),,,,
feast,5,thing (generic term),,,,,,
feast,5,banquet,spread,meal (generic term),repast (generic term),,,
feast,5,fete,fiesta,party (generic term),,,,
feast,5,banquet,junket,eat (generic term),,,,
feast,5,banquet,junket,host (generic term),,,,
feast,5,feed,regale (generic term),treat (generic term),,,,
fecal,5,faecal,feculent,dirty (similar term),soiled (similar term),unclean (similar term),,
feces,5,fecal matter,faecal matter,faeces,BM,stool,ordure,dejection
feign,5,sham,pretend,affect,dissemble,misrepresent (generic term),belie (generic term),
feign,5,simulate,assume,sham,dissemble (generic term),pretend (generic term),act (generic term),
feint,5,maneuver (generic term),manoeuvre (generic term),tactical maneuver (generic term),tactical manoeuvre (generic term),,,
feint,5,simulate (generic term),assume (generic term),sham (generic term),feign (generic term),,,
feist,5,fice,cur (generic term),mongrel (generic term),mutt (generic term),,,
felid,5,feline,carnivore (generic term),,,,,
felis,5,Felis,genus Felis,mammal genus (generic term),,,,
fella,5,chap,fellow,feller,lad,gent,blighter,cuss
felly,5,felloe,rim (generic term),,,,,
felon,5,criminal,crook,outlaw,malefactor,wrongdoer (generic term),offender (generic term),
felon,5,whitlow,infection (generic term),,,,,
femur,5,thighbone,femoris,leg bone (generic term),,,,
fence,5,fencing,barrier (generic term),,,,,
fence,5,trader (generic term),bargainer (generic term),dealer (generic term),monger (generic term),,,
fence,5,fence in,enclose (generic term),close in (generic term),inclose (generic term),shut in (generic term),,
